name,               size,  background, count, url
punks,         24x24, ,     100,   https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinalpunks.png
phunks,        24x24, ,     101,   https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinalphunks.png
lilphunks,     24x24, ,     101,   https://github.com/ordbase/ordinals.sandbox/raw/master/i/lilordinalphunks.png
doggies,       32x32, ,     101,   https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordoggies.png
greenbacks,    54x28,  true, 100,   https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/dollar/i/dollars.png
gold,          24x24,  ,    100,   https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/gold/i/golden.png
punkettes,     24x24,  ,    100,   https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/punkettes/i/punkettes.png
men,           24x24,  ,    100,   https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/men/i/men.png
humans,        24x24, ,     100,   https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/humans/i/humans.png
apes,          24x24, ,     100,   https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/apes/i/apes.png
orangepilled,  24x24,  true, 100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/orangepill/i/orangepilled_ii.png
goldcoins,     32x32,   ,    100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/coins/i/goldcoins.png
silvercoins,   32x32,   ,    100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/coins/i/silvercoins.png
bronzecoins,   32x32,   ,    100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/coins/i/bronzecoins.png
bluechips,     33x33,   ,    100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/bluechip/i/bluechips.png
bitcoin,       24x24,  true,  100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/bitcoin/i/bitcoins.png
dollar,        24x24,  true,  100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/bitcoin/i/dollars.png
euro,          24x24,  true,  100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/bitcoin/i/euros.png
pound,         24x24,  true,  100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/bitcoin/i/pounds.png
sketches,      49x49,  true, 100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/sketch/i/sketches.png
neons,         49x49,  true, 100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/neon/i/neons.png
polaroids,     34x38,   ,    100,  https://github.com/ordinalpunks/ordinalpunks.sandbox/raw/master/polaroid/i/polaroids.png
